gene_name	panel_count	gene_synonyms	gene_description
REL	6	C-Rel	v-rel avian reticuloendotheliosis viral oncogene homolog
SMC3	6	BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1	structural maintenance of chromosomes 3
CBFB	6	PEBP2B	core-binding factor, beta subunit
EPHB1	6	ELK|EPHT2|Hek6|NET	EPH receptor B1
SPOP	6	BTBD32|TEF2	speckle type POZ protein
AXIN2	6	AXIL|ODCRCS	axin 2
DEK	6	D6S231E	DEK proto-oncogene
SMC1A	6	CDLS2|DXS423E|SB1.8|SMC1|SMC1L1|SMC1alpha|SMCB	structural maintenance of chromosomes 1A
WRN	6	RECQ3|RECQL2|RECQL3	Werner syndrome, RecQ helicase-like
CCND3	6	-	cyclin D3
HGF	6	DFNB39|F-TCF|HGFB|HPTA|SF	hepatocyte growth factor (hepapoietin A; scatter factor)
SUZ12	6	CHET9|JJAZ1	SUZ12 polycomb repressive complex 2 subunit
STAT3	6	ADMIO|APRF|HIES	signal transducer and activator of transcription 3 (acute-phase response factor)
UGT1A1	6	BILIQTL1|GNT1|HUG-BR1|UDPGT|UDPGT 1-1|UGT1|UGT1A	UDP glucuronosyltransferase 1 family, polypeptide A1
POLD1	6	CDC2|CRCS10|MDPL|POLD	polymerase (DNA directed), delta 1, catalytic subunit
PML	6	MYL|PP8675|RNF71|TRIM19	promyelocytic leukemia
HSP90AA1	6	EL52|HEL-S-65p|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	heat shock protein 90kDa alpha family class A member 1
SMAD3	5	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	SMAD family member 3
IGF2R	5	CD222|CIMPR|M6P-R|M6P/IGF2R|MPR 300|MPR1|MPRI	insulin like growth factor 2 receptor
CKS1B	5	CKS1|PNAS-16|PNAS-18|ckshs1	CDC28 protein kinase regulatory subunit 1B
EWSR1	5	EWS|EWS-FLI1|bK984G1.4	EWS RNA binding protein 1
PAK3	5	MRX30|MRX47|OPHN3|PAK-3|PAK3beta|bPAK|beta-PAK	p21 protein (Cdc42/Rac)-activated kinase 3
CYP2D6	5	CPD6|CYP2D|CYP2D7AP|CYP2D7BP|CYP2D7P2|CYP2D8P2|CYP2DL1|CYPIID6|P450-DB1|P450C2D|P450DB1	cytochrome P450 family 2 subfamily D member 6
IGF2	5	C11orf43|GRDF|IGF-II|PP9974	insulin like growth factor 2
TET1	5	CXXC6|LCX|MLL-TET1|TET1-MLL|bA119F7.1	tet methylcytosine dioxygenase 1
PBX1	5	-	pre-B-cell leukemia homeobox 1
CREB1	5	CREB	cAMP responsive element binding protein 1
BRD4	5	CAP|HUNK1|HUNKI|MCAP	bromodomain containing 4
HIF1A	5	HIF-1-alpha|HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)
PAX3	5	CDHS|HUP2|WS1|WS3	paired box 3
HSP90AB1	5	D6S182|HSP84|HSP90B|HSPC2|HSPCB	heat shock protein 90kDa alpha family class B member 1
DDIT3	5	CEBPZ|CHOP|CHOP-10|CHOP10|GADD153	DNA damage inducible transcript 3
POT1	5	CMM10|HPOT1	protection of telomeres 1
NFKB1	5	EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
GRIN2A	5	EPND|FESD|GluN2A|LKS|NMDAR2A|NR2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
BCL3	5	BCL4|D19S37	B-cell CLL/lymphoma 3
KLF6	5	BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9	Kruppel-like factor 6
FUBP1	5	FBP|FUBP|hDH V	far upstream element (FUSE) binding protein 1
FANCL	5	FAAP43|PHF9|POG	Fanconi anemia complementation group L
MAP3K7	5	MEKK7|TAK1|TGF1a	mitogen-activated protein kinase kinase kinase 7
NUP214	5	CAIN|CAN|D9S46E|N214|p250	nucleoporin 214kDa
SSX1	5	CT5.1|SSRC	synovial sarcoma, X breakpoint 1
BCL10	5	CARMEN|CIPER|CLAP|IMD37|c-E10|mE10	B-cell CLL/lymphoma 10
BIRC2	5	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	baculoviral IAP repeat containing 2
CDKN1B	5	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	cyclin-dependent kinase inhibitor 1B (p27, Kip1)
CDKN1A	5	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
VEGFA	5	MVCD1|VEGF|VPF	vascular endothelial growth factor A
ETS1	5	ETS-1|EWSR2|c-ets-1|p54	v-ets avian erythroblastosis virus E26 oncogene homolog 1
XRCC2	5	-	X-ray repair complementing defective repair in Chinese hamster cells 2
CUX1	5	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75	cut-like homeobox 1
BCORL1	5	BCoR-L1|CXorf10	BCL6 corepressor-like 1
TAL1	5	SCL|TCL5|bHLHa17|tal-1	T-cell acute lymphocytic leukemia 1
FLI1	5	EWSR2|SIC-1	Fli-1 proto-oncogene, ETS transcription factor
PRKDC	5	DNA-PKcs|DNAPK|DNPK1|HYRC|HYRC1|IMD26|XRCC7|p350	protein kinase, DNA-activated, catalytic polypeptide
ADGRA2	5	GPR124|TEM5	adhesion G protein-coupled receptor A2
EPHA7	5	EHK-3|EHK3|EK11|HEK11	EPH receptor A7
EPHA5	5	CEK7|EHK-1|EHK1|EK7|HEK7|TYRO4	EPH receptor A5
BCL11B	5	ATL1|ATL1-alpha|ATL1-beta|ATL1-delta|ATL1-gamma|CTIP-2|CTIP2|RIT1|ZNF856B|hRIT1-alpha	B-cell CLL/lymphoma 11B (zinc finger protein)
TCF12	5	CRS3|HEB|HTF4|HsT17266|TCF-12|bHLHb20	transcription factor 12
RPTOR	5	KOG1|Mip1	regulatory associated protein of MTOR, complex 1
RAD51	5	BRCC5|FANCR|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	RAD51 recombinase
SOX2	5	ANOP3|MCOPS3	SRY-box 2
CTNNA1	5	CAP102	catenin alpha 1
NOTCH4	5	INT3	notch 4
EML4	5	C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120	echinoderm microtubule associated protein like 4
MAML2	5	MAM-3|MAM2|MAM3|MLL-MAML2	mastermind like transcriptional coactivator 2
TRRAP	5	PAF350/400|PAF400|STAF40|TR-AP|Tra1	transformation/transcription domain-associated protein
CDH11	5	CAD11|CDHOB|OB|OSF-4	cadherin 11, type 2, OB-cadherin (osteoblast)
MALT1	5	IMD12|MLT|MLT1	MALT1 paracaspase
ETV5	5	ERM	ets variant 5
LRP1B	5	LRP-DIT|LRPDIT	LDL receptor related protein 1B
GLI1	5	GLI	GLI family zinc finger 1
PDGFB	5	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	platelet-derived growth factor beta polypeptide
GPC3	5	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1	glypican 3
CBLC	4	CBL-3|CBL-SL|RNF57	Cbl proto-oncogene C, E3 ubiquitin protein ligase
WHSC1	4	MMSET|NSD2|REIIBP|TRX5|WHS	Wolf-Hirschhorn syndrome candidate 1
MAF	4	AYGRP|CCA4|CTRCT21|c-MAF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog
MUC1	4	ADMCKD|ADMCKD1|CA 15-3|CD227|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM	mucin 1, cell surface associated
TCL1A	4	TCL1	T-cell leukemia/lymphoma 1A
MEF2B	4	RSRFR2	myocyte enhancer factor 2B
CSMD3	4	-	CUB and Sushi multiple domains 3
RIT1	4	NS8|RIBB|RIT|ROC1	Ras-like without CAAX 1
FAM46C	4	-	family with sequence similarity 46 member C
BRD3	4	ORFX|RING3L	bromodomain containing 3
PAX7	4	HUP1|PAX7B|RMS2	paired box 7
PAX8	4	-	paired box 8
FOXO3	4	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	forkhead box O3
PLAG1	4	PSA|SGPA|ZNF912	PLAG1 zinc finger
SH2B3	4	IDDM20|LNK	SH2B adaptor protein 3
MAFB	4	KRML|MCTO	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B
ARHGAP26	4	GRAF|GRAF1|OPHN1L|OPHN1L1	Rho GTPase activating protein 26
BLNK	4	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	B-cell linker
FAT1	4	CDHF7|CDHR8|FAT|ME5|hFat1	FAT atypical cadherin 1
TRIM33	4	ECTO|PTC7|RFG7|TF1G|TIF1G|TIF1GAMMA|TIFGAMMA	tripartite motif containing 33
RNF43	4	RNF124|URCC	ring finger protein 43
NFKB2	4	CVID10|H2TF1|LYT-10|LYT10|NF-kB2|p100|p52	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
TLX1	4	HOX11|TCL3	T-cell leukemia homeobox 1
MLH3	4	HNPCC7	mutL homolog 3
HOOK3	4	HK3	hook microtubule-tethering protein 3
GNA13	4	G13	guanine nucleotide binding protein (G protein), alpha 13
ATF1	4	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1
IL6ST	4	CD130|CDW130|GP130|IL-6RB	interleukin 6 signal transducer
LTK	4	TYK1	leukocyte receptor tyrosine kinase
NCOA1	4	F-SRC-1|KAT13A|RIP160|SRC1|bHLHe42|bHLHe74	nuclear receptor coactivator 1
FANCB	4	FA2|FAAP90|FAAP95|FAB|FACB	Fanconi anemia complementation group B
FANCM	4	FAAP250|KIAA1596	Fanconi anemia complementation group M
FANCI	4	KIAA1794	Fanconi anemia complementation group I
CDK1	4	CDC2|CDC28A|P34CDC2	cyclin-dependent kinase 1
CDK9	4	C-2k|CDC2L4|CTK1|PITALRE|TAK	cyclin-dependent kinase 9
GREM1	4	C15DUPq|CKTSF1B1|CRAC1|CRCS4|DAND2|DRM|DUP15q|GREMLIN|HMPS|HMPS1|IHG-2|MPSH|PIG2	gremlin 1, DAN family BMP antagonist
HIST1H3B	4	H3/l|H3FL	histone cluster 1, H3b
EBF1	4	COE1|EBF|O/E-1|OLF1	early B-cell factor 1
AFF3	4	LAF4|MLLT2-like	AF4/FMR2 family member 3
AFF1	4	AF4|MLLT2|PBM1	AF4/FMR2 family member 1
WAS	4	IMD2|SCNX|THC|THC1|WASP|WASPA	Wiskott-Aldrich syndrome
WNT1	4	BMND16|INT1|OI15	wingless-type MMTV integration site family member 1
TFG	4	HMSNP|SPG57|TF6|TRKT3	TRK-fused gene
POU5F1	4	OCT3|OCT4|OTF-3|OTF3|OTF4|Oct-3|Oct-4	POU class 5 homeobox 1
TIMP3	4	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3
RNASEL	4	PRCA1|RNS4	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)
TLR4	4	ARMD10|CD284|TLR-4|TOLL	toll-like receptor 4
FGF3	4	HBGF-3|INT2	fibroblast growth factor 3
STAT5B	4	STAT5	signal transducer and activator of transcription 5B
NUMA1	4	NMP-22|NUMA	nuclear mitotic apparatus protein 1
ICK	4	ECO|LCK2|MRK	intestinal cell (MAK-like) kinase
CTCF	4	MRD21	CCCTC-binding factor (zinc finger protein)
CDKN1C	4	BWCR|BWS|KIP2|WBS|p57|p57Kip2	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
AURKC	4	AIE2|AIK3|ARK3|AurC|HEL-S-90|SPGF5|STK13|aurora-C	aurora kinase C
PDCD1LG2	4	B7DC|Btdc|CD273|PD-L2|PDCD1L2|PDL2|bA574F11.2	programmed cell death 1 ligand 2
CYP2C19	4	CPCJ|CYP2C|CYPIIC17|CYPIIC19|P450C2C|P450IIC19	cytochrome P450 family 2 subfamily C member 19
MMP2	4	CLG4|CLG4A|MMP-2|MMP-II|MONA|TBE-1	matrix metallopeptidase 2
BCL2L2	4	BCL-W|BCL2-L-2|BCLW|PPP1R51	BCL2-like 2
TCF7L1	4	TCF-3|TCF3	transcription factor 7-like 1 (T-cell specific, HMG-box)
TCF7L2	4	TCF-4|TCF4	transcription factor 7-like 2 (T-cell specific, HMG-box)
CTLA4	4	ALPS5|CD|CD152|CELIAC3|CTLA-4|GRD4|GSE|IDDM12	cytotoxic T-lymphocyte-associated protein 4
EPHB6	4	HEP	EPH receptor B6
BCL9	4	LGS	B-cell CLL/lymphoma 9
SYNE1	4	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	spectrin repeat containing, nuclear envelope 1
PDE4DIP	4	CMYA2|MMGL	phosphodiesterase 4D interacting protein
BCL11A	4	BCL11A-L|BCL11A-S|BCL11A-XL|BCL11a-M|CTIP1|EVI9|HBFQTL5|ZNF856	B-cell CLL/lymphoma 11A (zinc finger protein)
PTPRT	4	RPTPrho	protein tyrosine phosphatase, receptor type, T
SOX11	4	MRD27	SRY-box 11
TNK2	4	ACK|ACK-1|ACK1|p21cdc42Hs	tyrosine kinase, non-receptor, 2
FGF4	4	HBGF-4|HST|HST-1|HSTF1|K-FGF|KFGF	fibroblast growth factor 4
ITGB3	4	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	integrin subunit beta 3
ARID1B	4	6A3-5|BAF250B|BRIGHT|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B
PKHD1	4	ARPKD|FCYT|TIGM1	polycystic kidney and hepatic disease 1 (autosomal recessive)
MLLT10	4	AF10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10
HDAC1	4	GON-10|HD1|RPD3|RPD3L1	histone deacetylase 1
NOTCH3	4	CADASIL|CASIL|IMF2|LMNS	notch 3
KAT6A	4	MOZ|MRD32|MYST-3|MYST3|RUNXBP2|ZC2HC6A|ZNF220	K(lysine) acetyltransferase 6A
FOXA1	4	HNF3A|TCF3A	forkhead box A1
CRTC1	4	MECT1|TORC-1|TORC1|WAMTP1	CREB regulated transcription coactivator 1
EPHB4	4	HTK|MYK1|TYRO11	EPH receptor B4
LCK	4	IMD22|LSK|YT16|p56lck|pp58lck	LCK proto-oncogene, Src family tyrosine kinase
SGK1	4	SGK	serum/glucocorticoid regulated kinase 1
NRG1	4	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1
TPR	4	-	translocated promoter region, nuclear basket protein
THBS1	4	THBS|THBS-1|TSP|TSP-1|TSP1	thrombospondin 1
TAF1	4	BA2R|CCG1|CCGS|DYT3|DYT3/TAF1|KAT4|N-TAF1|NSCL2|OF|P250|TAF(II)250|TAF2A|TAFII-250|TAFII250|XDP	TATA-box binding protein associated factor 1
LIFR	3	CD118|LIF-R|SJS2|STWS|SWS	leukemia inhibitory factor receptor alpha
CRBN	3	MRT2|MRT2A	cereblon
B2M	3	-	beta-2-microglobulin
ITGA9	3	ALPHA-RLC|ITGA4L|RLC	integrin subunit alpha 9
RPS6KA2	3	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|pp90RSK3	ribosomal protein S6 kinase, 90kDa, polypeptide 2
HLF	3	-	hepatic leukemia factor
MAGEA1	3	CT1.1|MAGE1	MAGE family member A1
FIP1L1	3	FIP1|Rhe|hFip1	factor interacting with PAPOLA and CPSF1
CD74	3	DHLAG|HLADG|II|Ia-GAMMA	CD74 molecule, major histocompatibility complex, class II invariant chain
NQO1	3	DHQU|DIA4|DTD|NMOR1|NMORI|QR1	NAD(P)H dehydrogenase, quinone 1
FOXP4	3	hFKHLA	forkhead box P4
AREG	3	AR|AREGB|CRDGF|SDGF	amphiregulin
MECOM	3	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	MDS1 and EVI1 complex locus
DOT1L	3	DOT1|KMT4	DOT1-like histone H3K79 methyltransferase
AXIN1	3	AXIN|PPP1R49	axin 1
PTCH2	3	PTC2	patched 2
DCC	3	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1	DCC netrin 1 receptor
CUL3	3	CUL-3|PHA2E	cullin 3
CDH20	3	CDH7L3|Cdh7	cadherin 20, type 2
PER1	3	PER|RIGUI|hPER	period circadian clock 1
KIF5B	3	HEL-S-61|KINH|KNS|KNS1|UKHC	kinesin family member 5B
SH2D1A	3	DSHP|EBVS|IMD5|LYP|MTCP1|SAP|SAP/SH2D1A|XLP|XLPD|XLPD1	SH2 domain containing 1A
UBR5	3	DD5|EDD|EDD1|HYD	ubiquitin protein ligase E3 component n-recognin 5
MN1	3	MGCR|MGCR1|MGCR1-PEN|dJ353E16.2	meningioma (disrupted in balanced translocation) 1
RHOH	3	ARHH|TTF	ras homolog family member H
BTG1	3	-	B-cell translocation gene 1, anti-proliferative
HIST1H1C	3	H1.2|H1C|H1F2|H1s-1	histone cluster 1, H1c
HIST1H2AC	3	H2A/l|H2AFL|dJ221C16.4	histone cluster 1, H2ac
ERRFI1	3	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1
TBX22	3	ABERS|CLPA|CPX|TBXX|dJ795G23.1	T-box 22
AKAP9	3	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	A-kinase anchoring protein 9
GRM8	3	GLUR8|GPRC1H|MGLUR8|mGlu8	glutamate receptor, metabotropic 8
GRM3	3	GLUR3|GPRC1C|MGLUR3|mGlu3	glutamate receptor, metabotropic 3
DST	3	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2	dystonin
ING4	3	my036|p29ING4	inhibitor of growth family member 4
NCOA4	3	ARA70|ELE1|PTC3|RFG	nuclear receptor coactivator 4
SS18	3	SSXT|SYT	synovial sarcoma translocation, chromosome 18
LMO2	3	RBTN2|RBTNL1|RHOM2|TTG2	LIM domain only 2
IL21R	3	CD360|NILR	interleukin 21 receptor
PLCG1	3	NCKAP3|PLC-II|PLC1|PLC148|PLCgamma1	phospholipase C gamma 1
TRIP11	3	ACG1A|CEV14|GMAP-210|GMAP210|TRIP-11|TRIP230	thyroid hormone receptor interactor 11
TGM7	3	TGMZ	transglutaminase 7
IKBKB	3	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
FN1	3	CIG|ED-B|FINC|FN|FNZ|GFND|GFND2|LETS|MSF	fibronectin 1
NCSTN	3	ATAG1874	nicastrin
ITGA10	3	PRO827	integrin subunit alpha 10
CDK5	3	LIS7|PSSALRE	cyclin-dependent kinase 5
PRKCI	3	DXS1179E|PKCI|nPKC-iota	protein kinase C, iota
PRKCB	3	PKC-beta|PKCB|PRKCB1|PRKCB2	protein kinase C, beta
FBXO11	3	FBX11|PRMT9|UBR6|UG063H01|VIT1	F-box protein 11
SPEN	3	HIAA0929|MINT|RBM15C|SHARP	spen family transcriptional repressor
CIITA	3	C2TA|CIITAIV|MHC2TA|NLRA	class II, major histocompatibility complex, transactivator
ECT2L	3	ARHGEF32|C6orf91|FBXO49|LFDH|dJ509I19.2|dJ509I19.3|dJ509I19.5	epithelial cell transforming 2 like
IL2	3	IL-2|TCGF|lymphokine	interleukin 2
INSR	3	CD220|HHF5	insulin receptor
NUTM2B	3	FAM22B|bA119F19.1	NUT family member 2B
NUTM2A	3	FAM22A	NUT family member 2A
NT5C2	3	GMP|NT5B|PNT5|SPG45|SPG65|cN-II	5'-nucleotidase, cytosolic II
INPP4B	3	-	inositol polyphosphate-4-phosphatase type II B
LYN	3	JTK8|p53Lyn|p56Lyn	LYN proto-oncogene, Src family tyrosine kinase
RNF2	3	BAP-1|BAP1|DING|HIPI3|RING1B|RING2	ring finger protein 2
SLC19A1	3	CHMD|FOLT|IFC1|REFC|RFC1	solute carrier family 19 (folate transporter), member 1
ZNF217	3	ZABC1	zinc finger protein 217
NFKBIA	3	IKBA|MAD-3|NFKBI	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
EP400	3	CAGH32|P400|TNRC12	E1A binding protein p400
TFEB	3	ALPHATFEB|BHLHE35|TCFEB	transcription factor EB
MTRR	3	MSR|cblE	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
TP63	3	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	tumor protein p63
MAPK8	3	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	mitogen-activated protein kinase 8
CMPK1	3	CK|CMK|CMPK|UMK|UMP-CMPK|UMPK	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic
TYK2	3	IMD35|JTK1	tyrosine kinase 2
MYO18A	3	MYSPDZ|SPR210	myosin XVIIIA
PSIP1	3	DFS70|LEDGF|PAIP|PSIP2|p52|p75	PC4 and SFRS1 interacting protein 1
MYH11	3	AAT4|FAA4|SMHC|SMMHC	myosin, heavy chain 11, smooth muscle
LTF	3	GIG12|HEL110|HLF2|LF	lactotransferrin
PGR	3	NR3C3|PR	progesterone receptor
CDH2	3	CD325|CDHN|CDw325|NCAD	cadherin 2, type 1, N-cadherin (neuronal)
CDH5	3	7B4|CD144	cadherin 5, type 2 (vascular endothelium)
U2AF2	3	U2AF65	U2 small nuclear RNA auxiliary factor 2
MTR	3	HMAG|MS|cblG	5-methyltetrahydrofolate-homocysteine methyltransferase
SLX4	3	BTBD12|FANCP|MUS312	SLX4 structure-specific endonuclease subunit
MYH9	3	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	myosin, heavy chain 9, non-muscle
RALGDS	3	RGDS|RGF|RalGEF	ral guanine nucleotide dissociation stimulator
ARNT	3	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	aryl hydrocarbon receptor nuclear translocator
TPMT	3	-	thiopurine S-methyltransferase
ID3	3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
CASC5	3	AF15Q14|CT29|D40|KNL1|PPP1R55|Spc7|hKNL-1|hSpc105	cancer susceptibility candidate 5
RNF213	3	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	ring finger protein 213
SEPT9	3	AF17q25|MSF|MSF1|NAPB|PNUTL4|SINT1|SeptD1	septin 9
EMSY	3	C11orf30|GL002	EMSY, BRCA2-interacting transcriptional repressor
PARP2	3	ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2	poly(ADP-ribose) polymerase 2
TBX3	3	TBX3-ISO|UMS|XHL	T-box 3
MLLT4	3	AF6|MLL-AF6	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 4
CASP8	3	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	caspase 8, apoptosis-related cysteine peptidase
PICALM	3	CALM|CLTH|LAP	phosphatidylinositol binding clathrin assembly protein
GSK3B	3	-	glycogen synthase kinase 3 beta
GUCY1A2	3	GC-SA2|GUC1A2	guanylate cyclase 1, soluble, alpha 2
KDM5A	3	RBBP-2|RBBP2|RBP2	lysine (K)-specific demethylase 5A
FGF19	3	-	fibroblast growth factor 19
MTHFR	3	-	methylenetetrahydrofolate reductase (NAD(P)H)
ZNF521	3	EHZF|Evi3	zinc finger protein 521
RASA1	3	CM-AVM|CMAVM|GAP|PKWS|RASA|RASGAP|p120GAP|p120RASGAP	RAS p21 protein activator (GTPase activating protein) 1
PGAP3	3	AGLA546|CAB2|PERLD1|PP1498|hCOS16	post-GPI attachment to proteins 3
GATA4	3	ASD2|TACHD|TOF|VSD1	GATA binding protein 4
PAG1	3	CBP|PAG	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
TAF15	3	Npl3|RBP56|TAF2N|TAFII68	TATA-box binding protein associated factor 15
RBM10	3	DXS8237E|GPATC9|GPATCH9|S1-1|TARPS|ZRANB5	RNA binding motif protein 10
RBM15	3	OTT|OTT1|SPEN	RNA binding motif protein 15
ADGRB3	3	BAI3	adhesion G protein-coupled receptor B3
ADGRL3	3	CIRL3|CL3|LEC3|LPHN3	adhesion G protein-coupled receptor L3
TAF1L	3	TAF(II)210|TAF2A2	TATA-box binding protein associated factor 1 like
TRIM24	3	PTC6|RNF82|TF1A|TIF1|TIF1A|TIF1ALPHA|hTIF1	tripartite motif containing 24
ITGB2	3	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	integrin subunit beta 2
LPP	3	-	LIM domain containing preferred translocation partner in lipoma
FUS	3	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	FUS RNA binding protein
MKL1	3	BSAC|MAL|MRTF-A	megakaryoblastic leukemia (translocation) 1
IRF1	3	IRF-1|MAR	interferon regulatory factor 1
IRF8	3	H-ICSBP|ICSBP|ICSBP1|IMD32A|IMD32B|IRF-8	interferon regulatory factor 8
HDAC4	3	AHO3|BDMR|HA6116|HD4|HDAC-4|HDAC-A|HDACA	histone deacetylase 4
NLRP1	3	CARD7|CIDED|CLR17.1|DEFCAP|DEFCAP-L/S|NAC|NALP1|PP1044|SLEV1|VAMAS1	NLR family, pyrin domain containing 1
ACVR2A	3	ACTRII|ACVR2	activin A receptor type IIA
LAMP1	3	CD107a|LAMPA|LGP120	lysosomal-associated membrane protein 1
ITK	3	EMT|LPFS1|LYK|PSCTK2	IL2-inducible T-cell kinase
SOX9	3	CMD1|CMPD1|SRA1|SRXX2|SRXY10	SRY-box 9
ABCB1	3	ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1	ATP binding cassette subfamily B member 1
MBD1	3	CXXC3|PCM1|RFT	methyl-CpG binding domain protein 1
KAT6B	3	GTPTS|MORF|MOZ2|MYST4|ZC2HC6B|qkf|querkopf	K(lysine) acetyltransferase 6B
ZNF384	3	CAGH1|CAGH1A|CIZ|ERDA2|NMP4|NP|TNRC1	zinc finger protein 384
PARK2	3	AR-JP|LPRS2|PDJ|PRKN	parkin RBR E3 ubiquitin protein ligase
INHBA	3	EDF|FRP	inhibin beta A
MAGI1	3	AIP-3|AIP3|BAIAP1|BAP-1|BAP1|MAGI-1|Magi1d|TNRC19|WWP3	membrane associated guanylate kinase, WW and PDZ domain containing 1
SMUG1	3	FDG|HMUDG|UNG3	single-strand-selective monofunctional uracil-DNA glycosylase 1
NIN	3	SCKL7	ninein
STK36	3	FU	serine/threonine kinase 36
STAT6	3	D12S1644|IL-4-STAT|STAT6B|STAT6C	signal transducer and activator of transcription 6, interleukin-4 induced
APH1A	3	6530402N02Rik|APH-1|APH-1A|CGI-78	aph-1 homolog A, gamma secretase subunit
PTPN6	3	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	protein tyrosine phosphatase, non-receptor type 6
MARK4	3	MARK4L|MARK4S|MARKL1|MARKL1L|PAR-1D	MAP/microtubule affinity-regulating kinase 4
MARK1	3	MARK|Par-1c|Par1c	MAP/microtubule affinity-regulating kinase 1
RHEB	3	RHEB2	Ras homolog enriched in brain
USP9X	3	DFFRX|FAF|FAM|MRX99	ubiquitin specific peptidase 9, X-linked
ADAMTS20	3	ADAM-TS20|ADAMTS-20|GON-1	ADAM metallopeptidase with thrombospondin type 1 motif 20
